Date,Close
2000-01-04,25.55
2000-01-05,24.91
2000-01-06,24.78
2000-01-07,24.22
2000-01-10,24.67
2000-01-11,25.77
2000-01-12,26.28
2000-01-13,26.69
2000-01-14,28.02
2000-01-18,28.85
2000-01-19,29.54
2000-01-20,29.66
2000-01-21,28.2
2000-01-24,27.83
2000-01-25,28.28
2000-01-26,27.84
2000-01-27,27.32
2000-01-28,27.22
2000-01-31,27.64
2000-02-01,28.22
2000-02-02,27.55
2000-02-03,28.03
2000-02-04,28.82
2000-02-07,28.45
2000-02-08,28.02
2000-02-09,28.77
2000-02-10,29.43
2000-02-11,29.44
2000-02-14,30.25
2000-02-15,30.06
2000-02-16,30.05
2000-02-17,29.46
2000-02-18,29.51
2000-02-22,29.62
2000-02-23,29.39
2000-02-24,29.97
2000-02-25,30.35
2000-02-28,30.13
2000-02-29,30.43
2000-03-01,31.77
2000-03-02,31.69
2000-03-03,31.51
2000-03-06,32.18
2000-03-07,34.13
2000-03-08,31.26
2000-03-09,31.69
2000-03-10,31.76
2000-03-13,32.02
2000-03-14,31.69
2000-03-15,30.72
2000-03-16,31.09
2000-03-17,30.91
2000-03-20,29.43
2000-03-21,28.0
2000-03-22,27.46
2000-03-23,27.31
2000-03-24,28.02
2000-03-27,27.79
2000-03-28,27.09
2000-03-29,26.45
2000-03-30,26.7
2000-03-31,26.9
2000-04-03,26.43
2000-04-04,25.45
2000-04-05,25.83
2000-04-06,25.69
2000-04-07,25.04
2000-04-10,23.85
2000-04-11,24.14
2000-04-12,25.41
2000-04-13,25.38
2000-04-14,25.57
2000-04-17,25.89
2000-04-18,26.11
2000-04-19,27.35
2000-04-20,25.88
2000-04-24,26.04
2000-04-25,25.33
2000-04-26,24.65
2000-04-27,25.42
2000-04-28,25.74
2000-05-01,25.87
2000-05-02,26.89
2000-05-03,26.75
2000-05-04,26.98
2000-05-05,27.29
2000-05-08,28.09
2000-05-09,28.65
2000-05-10,28.1
2000-05-11,29.11
2000-05-12,29.62
2000-05-15,29.92
2000-05-16,29.73
2000-05-17,29.32
2000-05-18,30.33
2000-05-19,29.89
2000-05-22,28.61
2000-05-23,28.78
2000-05-24,29.93
2000-05-25,30.51
2000-05-26,30.0
2000-05-30,30.35
2000-05-31,29.01
2000-06-01,30.14
2000-06-02,30.35
2000-06-05,29.7
2000-06-06,29.75
2000-06-07,29.95
2000-06-08,29.78
2000-06-09,30.2
2000-06-12,31.74
2000-06-13,32.56
2000-06-14,32.85
2000-06-15,32.95
2000-06-16,32.33
2000-06-19,31.69
2000-06-20,33.05
2000-06-21,31.37
2000-06-22,32.19
2000-06-23,32.25
2000-06-26,31.63
2000-06-27,32.06
2000-06-28,31.9
2000-06-29,32.72
2000-06-30,32.5
2000-07-05,30.67
2000-07-06,29.99
2000-07-07,30.28
2000-07-10,29.69
2000-07-11,29.7
2000-07-12,30.32
2000-07-13,31.47
2000-07-14,31.4
2000-07-17,30.83
2000-07-18,31.94
2000-07-19,31.42
2000-07-20,30.93
2000-07-21,28.56
2000-07-24,28.02
2000-07-25,27.95
2000-07-26,27.81
2000-07-27,28.02
2000-07-28,28.18
2000-07-31,27.43
2000-08-01,27.79
2000-08-02,28.26
2000-08-03,28.66
2000-08-04,29.96
2000-08-07,28.91
2000-08-08,29.12
2000-08-09,30.35
2000-08-10,31.34
2000-08-11,31.02
2000-08-14,31.94
2000-08-15,31.67
2000-08-16,31.8
2000-08-17,31.94
2000-08-18,31.99
2000-08-21,32.47
2000-08-22,31.22
2000-08-23,32.02
2000-08-24,31.63
2000-08-25,32.03
2000-08-28,32.87
2000-08-29,32.74
2000-08-30,33.32
2000-08-31,33.12
2000-09-01,33.38
2000-09-05,33.83
2000-09-06,34.9
2000-09-07,35.39
2000-09-08,33.63
2000-09-11,35.14
2000-09-12,34.28
2000-09-13,33.82
2000-09-14,34.07
2000-09-15,35.92
2000-09-18,36.88
2000-09-19,36.51
2000-09-20,37.2
2000-09-21,34.0
2000-09-22,32.68
2000-09-25,31.57
2000-09-26,31.5
2000-09-27,31.46
2000-09-28,30.34
2000-09-29,30.84
2000-10-02,32.18
2000-10-03,32.07
2000-10-04,31.43
2000-10-05,30.53
2000-10-06,30.86
2000-10-09,31.86
2000-10-10,33.18
2000-10-11,33.25
2000-10-12,36.06
2000-10-13,34.99
2000-10-16,32.92
2000-10-17,32.99
2000-10-18,33.48
2000-10-19,32.91
2000-10-20,33.75
2000-10-23,33.76
2000-10-24,33.37
2000-10-25,32.96
2000-10-26,33.71
2000-10-27,32.74
2000-10-30,32.81
2000-10-31,32.7
2000-11-01,33.25
2000-11-02,32.54
2000-11-03,32.71
2000-11-06,32.86
2000-11-07,33.4
2000-11-08,33.24
2000-11-09,33.92
2000-11-10,34.02
2000-11-13,34.47
2000-11-14,34.87
2000-11-15,35.58
2000-11-16,35.12
2000-11-17,35.45
2000-11-20,35.22
2000-11-21,35.16
2000-11-22,35.4
2000-11-27,35.38
2000-11-28,34.22
2000-11-29,34.63
2000-11-30,33.82
2000-12-01,32.02
2000-12-04,31.22
2000-12-05,29.53
2000-12-06,29.85
2000-12-07,29.35
2000-12-08,28.44
2000-12-11,29.5
2000-12-12,29.68
2000-12-13,28.74
2000-12-14,27.99
2000-12-15,28.87
2000-12-18,29.76
2000-12-19,29.33
2000-12-20,25.77
2000-12-21,25.98
2000-12-22,26.18
2000-12-26,26.64
2000-12-27,26.47
2000-12-28,25.85
2000-12-29,26.8
2001-01-02,27.21
2001-01-03,28.0
